Team,Season,Pick_Num
PHX,2018,1
SAC,2018,2
ATL,2018,3
MEM,2018,4
DAL,2018,5
ORL,2018,6
CHI,2018,7
CLE,2018,8
NYK,2018,9
PHI,2018,10
CHA,2018,11
LAC,2018,12
LAC,2018,13
DEN,2018,14
WAS,2018,15
PHX,2018,16
MIL,2018,17
SAS,2018,18
ATL,2018,19
MIN,2018,20
UTH,2018,21
CHI,2018,22
IND,2018,23
POR,2018,24
LAL,2018,25
PHI,2018,26
BOS,2018,27
GSW,2018,28
BKN,2018,29
ATL,2018,30
PHX,2018,31
MEM,2018,32
ATL,2018,33
DAL,2018,34
ORL,2018,35
SAC,2018,36
NYK,2018,37
PHI,2018,38
PHI,2018,39
BKN,2018,40
ORL,2018,41
DET,2018,42
DEN,2018,43
WAS,2018,44
BKN,2018,45
HOU,2018,46
LAL,2018,47
MIN,2018,48
SAS,2018,49
IND,2018,50
NOP,2018,51
UTH,2018,52
OKC,2018,53
DAL,2018,54
CHA,2018,55
PHI,2018,56
OKC,2018,57
DEN,2018,58
PHX,2018,59
PHI,2018,60
