Player,Spotrac_ID,Team,Salary
Jerryd Bayless,http://www.spotrac.com/redirect/player/6150/,PHI,9424084
Gerald Henderson,http://www.spotrac.com/redirect/player/6275/,PHI,9000000
Tiago Splitter,http://www.spotrac.com/redirect/player/7119/,PHI,8550000
Sergio Rodriguez,http://www.spotrac.com/redirect/player/2682/,PHI,8000000
Ben Simmons,http://www.spotrac.com/redirect/player/20206/,PHI,5903160
Joel Embiid,http://www.spotrac.com/redirect/player/15355/,PHI,4826160
Jahlil Okafor,http://www.spotrac.com/redirect/player/17831/,PHI,4788840
Nik Stauskas,http://www.spotrac.com/redirect/player/15360/,PHI,2993040
Dario Saric,http://www.spotrac.com/redirect/player/15364/,PHI,2318280
Justin Anderson,http://www.spotrac.com/redirect/player/17849/,PHI,1514160
Timothe Luwawu-Cabarrot,http://www.spotrac.com/redirect/player/20229/,PHI,1326960
Richaun Holmes,http://www.spotrac.com/redirect/player/17865/,PHI,1025831
Robert Covington,http://www.spotrac.com/redirect/player/13379/,PHI,1015696
T.J. McConnell,http://www.spotrac.com/redirect/player/18252/,PHI,874636
Shawn Long,http://www.spotrac.com/redirect/player/20287/,PHI,89513
Alex Poythress,http://www.spotrac.com/redirect/player/20970/,PHI,6394
Kevin Durant,http://www.spotrac.com/redirect/player/2717/,GSW,26540100
Klay Thompson,http://www.spotrac.com/redirect/player/8062/,GSW,16663575
Draymond Green,http://www.spotrac.com/redirect/player/10860/,GSW,15330435
Stephen Curry,http://www.spotrac.com/redirect/player/6287/,GSW,12112359
Andre Iguodala,http://www.spotrac.com/redirect/player/2652/,GSW,11131368
Shaun Livingston,http://www.spotrac.com/redirect/player/2477/,GSW,5782450
Zaza Pachulia,http://www.spotrac.com/redirect/player/2203/,GSW,2898000
Kevon Looney,http://www.spotrac.com/redirect/player/17858/,GSW,1182840
Damian Jones,http://www.spotrac.com/redirect/player/20235/,GSW,1171560
David West,http://www.spotrac.com/redirect/player/2613/,GSW,980431
JaVale McGee,http://www.spotrac.com/redirect/player/6159/,GSW,980431
Ian Clark,http://www.spotrac.com/redirect/player/13442/,GSW,980431
James McAdoo,http://www.spotrac.com/redirect/player/15783/,GSW,980431
Patrick McCaw,http://www.spotrac.com/redirect/player/20244/,GSW,543471
Matt Barnes,http://www.spotrac.com/redirect/player/2313/,GSW,242224
Gordon Hayward,http://www.spotrac.com/redirect/player/6891/,UTA,16073140
Derrick Favors,http://www.spotrac.com/redirect/player/6884/,UTA,11050000
Joe Johnson,http://www.spotrac.com/redirect/player/2200/,UTA,11000000
Alec Burks,http://www.spotrac.com/redirect/player/8063/,UTA,10154495
George Hill,http://www.spotrac.com/redirect/player/6154/,UTA,8000000
Boris Diaw,http://www.spotrac.com/redirect/player/6089/,UTA,7000000
Dante Exum,http://www.spotrac.com/redirect/player/15357/,UTA,3940320
Shelvin Mack,http://www.spotrac.com/redirect/player/8086/,UTA,2433334
Trey Lyles,http://www.spotrac.com/redirect/player/17840/,UTA,2340600
Joe Ingles,http://www.spotrac.com/redirect/player/15852/,UTA,2150000
Rudy Gobert,http://www.spotrac.com/redirect/player/13340/,UTA,2121287
Rodney Hood,http://www.spotrac.com/redirect/player/15375/,UTA,1406520
Jeff Withey,http://www.spotrac.com/redirect/player/13352/,UTA,1015696
Raul Neto,http://www.spotrac.com/redirect/player/13360/,UTA,937800
Joel Bolomboy,http://www.spotrac.com/redirect/player/20258/,UTA,600000
Dwyane Wade,http://www.spotrac.com/redirect/player/2556/,CHI,23200000
Jimmy Butler,http://www.spotrac.com/redirect/player/8081/,CHI,18156361
Rajon Rondo,http://www.spotrac.com/redirect/player/2222/,CHI,14000000
Robin Lopez,http://www.spotrac.com/redirect/player/6147/,CHI,13219250
Nikola Mirotic,http://www.spotrac.com/redirect/player/8074/,CHI,5782450
Anthony Morrow,http://www.spotrac.com/redirect/player/6109/,CHI,3488000
Michael Carter-Williams,http://www.spotrac.com/redirect/player/13324/,CHI,3183526
Cameron Payne,http://www.spotrac.com/redirect/player/17842/,CHI,2112480
Denzel Valentine,http://www.spotrac.com/redirect/player/20219/,CHI,2092200
Joffrey Lauvergne,http://www.spotrac.com/redirect/player/13368/,CHI,1709719
Jerian Grant,http://www.spotrac.com/redirect/player/17847/,CHI,1643040
Bobby Portis,http://www.spotrac.com/redirect/player/17850/,CHI,1453680
Isaiah Canaan,http://www.spotrac.com/redirect/player/13347/,CHI,1015696
Cristiano Felicio,http://www.spotrac.com/redirect/player/17990/,CHI,874636
Paul Zipser,http://www.spotrac.com/redirect/player/20254/,CHI,750000
Luol Deng,http://www.spotrac.com/redirect/player/2240/,LAL,18000000
Timofey Mozgov,http://www.spotrac.com/redirect/player/7118/,LAL,16000000
Jordan Clarkson,http://www.spotrac.com/redirect/player/15398/,LAL,12500000
Corey Brewer,http://www.spotrac.com/redirect/player/2573/,LAL,7612172
