Player,Spotrac_ID,Team,Salary,Signed_Using,Trade_Kicker,Can_Block
Kent Bazemore,http://www.spotrac.com/redirect/player/11079/,ATL,18089887,Cap Space,,
Dennis Schröder,http://www.spotrac.com/redirect/player/13330/,ATL,15500000,Bird,,
Miles Plumlee,http://www.spotrac.com/redirect/player/10851/,ATL,12500000,Bird,,
Dewayne Dedmon,http://www.spotrac.com/redirect/player/13536/,ATL,6300000,Cap Space,,
Mike Muscala,http://www.spotrac.com/redirect/player/13357/,ATL,5000000,Bird,,True
Taurean Prince,http://www.spotrac.com/redirect/player/20217/,ATL,2526840,Rookie,,
John Collins,http://www.spotrac.com/redirect/player/23614/,ATL,2299080,Rookie,,
DeAndre' Bembry,http://www.spotrac.com/redirect/player/20226/,ATL,1634640,Rookie,,
Isaiah Taylor,http://www.spotrac.com/redirect/player/20273/,ATL,1544951,Minimum,,
Antonius Cleveland,http://www.spotrac.com/redirect/player/24370/,ATL,1378242,Minimum,,
Tyler Dorsey,http://www.spotrac.com/redirect/player/23642/,ATL,1378242,Minimum,,
Jaylen Morris,http://www.spotrac.com/redirect/player/24993/,ATL,1378242,Minimum,,
Bismack Biyombo,http://www.spotrac.com/redirect/player/8057/,ORL,17000000,Cap Space,,
Evan Fournier,http://www.spotrac.com/redirect/player/10845/,ORL,17000000,Bird,,
Nikola Vucevic,http://www.spotrac.com/redirect/player/8067/,ORL,12750000,Bird,,
Terrence Ross,http://www.spotrac.com/redirect/player/10816/,ORL,10500000,Bird,,
D.J. Augustin,http://www.spotrac.com/redirect/player/6088/,ORL,7250000,Cap Space,,
Shelvin Mack,http://www.spotrac.com/redirect/player/8086/,ORL,6000000,Cap Space,,
Jonathon Simmons,http://www.spotrac.com/redirect/player/17983/,ORL,6000000,Cap Space,,
Jonathan Isaac,http://www.spotrac.com/redirect/player/23601/,ORL,4969080,Rookie,,
Khem Birch,http://www.spotrac.com/redirect/player/15786/,ORL,1378242,Minimum,,
Wesley Iwundu,http://www.spotrac.com/redirect/player/23628/,ORL,1378242,Cap Space,,
Rodney Purvis,http://www.spotrac.com/redirect/player/24520/,ORL,1378242,Minimum,,
Nicolas Batum,http://www.spotrac.com/redirect/player/6149/,CHA,24000000,Bird,,
Dwight Howard,http://www.spotrac.com/redirect/player/2640/,CHA,23819725,Cap Space,,
Marvin Williams,http://www.spotrac.com/redirect/player/2208/,CHA,14087500,Early Bird,,
Cody Zeller,http://www.spotrac.com/redirect/player/13317/,CHA,13528090,Bird,,
Michael Kidd-Gilchrist,http://www.spotrac.com/redirect/player/10810/,CHA,13000000,Bird,,
Kemba Walker,http://www.spotrac.com/redirect/player/8059/,CHA,12000000,Bird,,
Jeremy Lamb,http://www.spotrac.com/redirect/player/10820/,CHA,7488372,Bird,,
Frank Kaminsky,http://www.spotrac.com/redirect/player/17837/,CHA,3627842,Rookie,,
Malik Monk,http://www.spotrac.com/redirect/player/23606/,CHA,3447480,Rookie,,
Julyan Stone,http://www.spotrac.com/redirect/player/8644/,CHA,1656092,Minimum,,
Willy Hernangomez,http://www.spotrac.com/redirect/player/17863/,CHA,1496500,Cap Space,,
Dwayne Bacon,http://www.spotrac.com/redirect/player/23640/,CHA,1378242,MLE,,
James Harden,http://www.spotrac.com/redirect/player/6312/,HOU,30421854,Cap Space,True,
Ryan Anderson,http://www.spotrac.com/redirect/player/6133/,HOU,20421546,Cap Space,,
Eric Gordon,http://www.spotrac.com/redirect/player/6116/,HOU,13500375,Cap Space,,
P.J. Tucker,http://www.spotrac.com/redirect/player/11059/,HOU,7969537,MLE,,
Nene Hilario,http://www.spotrac.com/redirect/player/6103/,HOU,3651480,Non-Bird,,
Chinanu Onuaku,http://www.spotrac.com/redirect/player/20243/,HOU,1544951,Cap Space,,
Zhou Qi,http://www.spotrac.com/redirect/player/20249/,HOU,1378242,MLE,,
Mike Conley,http://www.spotrac.com/redirect/player/2532/,MEM,30521115,Bird,,
Marc Gasol,http://www.spotrac.com/redirect/player/6122/,MEM,24119025,Bird,True,
Chandler Parsons,http://www.spotrac.com/redirect/player/8090/,MEM,24107258,Cap Space,,
JaMychal Green,http://www.spotrac.com/redirect/player/11666/,MEM,7866667,Bird,,
Ben McLemore,http://www.spotrac.com/redirect/player/13320/,MEM,5460000,MLE,,
Jarell Martin,http://www.spotrac.com/redirect/player/17853/,MEM,2416222,Rookie,,
MarShon Brooks,http://www.spotrac.com/redirect/player/8076/,MEM,1656092,Minimum,,
Deyonta Davis,http://www.spotrac.com/redirect/player/20237/,MEM,1544951,Cap Space,,
Andrew Harrison,http://www.spotrac.com/redirect/player/17872/,MEM,1544951,Cap Space,,
Wayne Selden,http://www.spotrac.com/redirect/player/20921/,MEM,1544951,Minimum,,
Dillon Brooks,http://www.spotrac.com/redirect/player/23646/,MEM,1378242,MLE,,
