Player,Spotrac_ID,Team,Salary,Signed_Using,Trade_Kicker,Can_Block,How_Acquired,Date_Acquired,Traded_From
James Harden,http://www.spotrac.com/redirect/player/6312/,HOU,28299399,Cap Space,True,True,signed,2017-07-08,
Chris Paul,http://www.spotrac.com/redirect/player/2609/,HOU,24599459,Bird,True,,traded,2017-06-28,LAC
Ryan Anderson,http://www.spotrac.com/redirect/player/6133/,HOU,19578454,Cap Space,,,,,
Eric Gordon,http://www.spotrac.com/redirect/player/6116/,HOU,12943020,Cap Space,,,,,
P.J. Tucker,http://www.spotrac.com/redirect/player/11059/,HOU,7590035,MLE,,,signed,2017-07-06,
Trevor Ariza,http://www.spotrac.com/redirect/player/2513/,HOU,7420912,Cap Space,,,,,
Nene Hilario,http://www.spotrac.com/redirect/player/6103/,HOU,3477600,Non-Bird,,,signed,2017-07-06,
Tarik Black,http://www.spotrac.com/redirect/player/15767/,HOU,3290000,Bi-Annual,True,,signed,2017-07-17,
Clint Capela,http://www.spotrac.com/redirect/player/15377/,HOU,2334528,Rookie,,,,,
Luc Richard Mbah a Moute,http://www.spotrac.com/redirect/player/6130/,HOU,1471382,Minimum,,,signed,2017-07-19,
Chinanu Onuaku,http://www.spotrac.com/redirect/player/20243/,HOU,1312611,Cap Space,,,,,
Gerald Green,http://www.spotrac.com/redirect/player/6100/,HOU,872854,Minimum,,,signed,2017-12-28,
Zhou Qi,http://www.spotrac.com/redirect/player/20249/,HOU,815615,MLE,,,signed,2017-07-01,
Brandan Wright,http://www.spotrac.com/redirect/player/2325/,HOU,490461,Minimum,,,,,
Joe Johnson,http://www.spotrac.com/redirect/player/2200/,HOU,473835,Minimum,,,,,
Zach Randolph,http://www.spotrac.com/redirect/player/2626/,SAC,12307692,Cap Space,,,signed,2017-07-10,
Iman Shumpert,http://www.spotrac.com/redirect/player/8068/,SAC,10337079,Bird,,,,,
Bogdan Bogdanovic,http://www.spotrac.com/redirect/player/15379/,SAC,9470614,Cap Space,,,signed,2017-07-13,
Kosta Koufos,http://www.spotrac.com/redirect/player/6254/,SAC,8393000,Cap Space,,,,,
Vince Carter,http://www.spotrac.com/redirect/player/2590/,SAC,8000000,Cap Space,,,signed,2017-07-10,
Garrett Temple,http://www.spotrac.com/redirect/player/6492/,SAC,8000000,Cap Space,,,,,
De'Aaron Fox,http://www.spotrac.com/redirect/player/23600/,SAC,4609200,Rookie,,,signed,2017-07-07,
Willie Cauley-Stein,http://www.spotrac.com/redirect/player/17834/,SAC,3704160,Rookie,,,,,
Buddy Hield,http://www.spotrac.com/redirect/player/20211/,SAC,3675480,Rookie,,,traded,2017-02-20,NOP
Bruno Caboclo,http://www.spotrac.com/redirect/player/15372/,SAC,2451225,Rookie,,,,,
Justin Jackson,http://www.spotrac.com/redirect/player/23610/,SAC,2365560,Rookie,,,signed,2017-07-06,
Harry Giles,http://www.spotrac.com/redirect/player/23615/,SAC,1859400,Rookie,,,signed,2017-07-03,
Skal Labissiere,http://www.spotrac.com/redirect/player/20233/,SAC,1242240,Rookie,,,,,
Frank Mason,http://www.spotrac.com/redirect/player/23629/,SAC,1184385,Cap Space,,,signed,2017-07-13,
Dwight Howard,http://www.spotrac.com/redirect/player/2640/,CHA,23500000,Cap Space,,,traded,2017-06-20,ATL
Nicolas Batum,http://www.spotrac.com/redirect/player/6149/,CHA,22434783,Bird,,,,,
Marvin Williams,http://www.spotrac.com/redirect/player/2208/,CHA,13168750,Early Bird,,,,,
Michael Kidd-Gilchrist,http://www.spotrac.com/redirect/player/10810/,CHA,13000000,Bird,,,,,
Cody Zeller,http://www.spotrac.com/redirect/player/13317/,CHA,12584270,Bird,,,,,
Kemba Walker,http://www.spotrac.com/redirect/player/8059/,CHA,12000000,Bird,,,,,
Jeremy Lamb,http://www.spotrac.com/redirect/player/10820/,CHA,7000000,Bird,,,,,
Malik Monk,http://www.spotrac.com/redirect/player/23606/,CHA,2904480,Rookie,,,signed,2017-07-02,
Frank Kaminsky,http://www.spotrac.com/redirect/player/17837/,CHA,2847600,Rookie,,,,,
Michael Carter-Williams,http://www.spotrac.com/redirect/player/13324/,CHA,2700000,MLE,,,signed,2017-07-07,
Julyan Stone,http://www.spotrac.com/redirect/player/8644/,CHA,1524305,Minimum,,,signed,2017-08-24,
Willy Hernangomez,http://www.spotrac.com/redirect/player/17863/,CHA,1435750,Cap Space,,,,,
Treveon Graham,http://www.spotrac.com/redirect/player/18124/,CHA,1312611,Minimum,,,,,
Dwayne Bacon,http://www.spotrac.com/redirect/player/23640/,CHA,815615,MLE,,,signed,2017-07-06,
Jrue Holiday,http://www.spotrac.com/redirect/player/6316/,NOP,25656667,Bird,,,signed,2017-07-06,
Anthony Davis,http://www.spotrac.com/redirect/player/10809/,NOP,23775506,Bird,True,,,,
DeMarcus Cousins,http://www.spotrac.com/redirect/player/6886/,NOP,18063850,Bird,,,traded,2017-02-20,SAC
Nikola Mirotic,http://www.spotrac.com/redirect/player/8074/,NOP,12500000,Cap Space,,True,,,
Solomon Hill,http://www.spotrac.com/redirect/player/13336/,NOP,12236535,Cap Space,,,,,
E'Twaun Moore,http://www.spotrac.com/redirect/player/8107/,NOP,8445024,Cap Space,,,,,
Alexis Ajinca,http://www.spotrac.com/redirect/player/6087/,NOP,4961798,Early Bird,,,,,
Rajon Rondo,http://www.spotrac.com/redirect/player/2222/,NOP,3300000,MLE,,,signed,2017-07-19,
Darius Miller,http://www.spotrac.com/redirect/player/10871/,NOP,2100000,MLE,,,signed,2017-07-24,
Ian Clark,http://www.spotrac.com/redirect/player/13442/,NOP,1471382,Minimum,,,signed,2017-08-03,
Cheick Diallo,http://www.spotrac.com/redirect/player/20239/,NOP,1312611,Cap Space,,,,,
Frank Jackson,http://www.spotrac.com/redirect/player/23626/,NOP,815615,MLE,,,signed,2017-07-08,
DeAndre Liggins,http://www.spotrac.com/redirect/player/8105/,NOP,588120,Minimum,,,,,
Damian Lillard,http://www.spotrac.com/redirect/player/10814/,POR,26153057,Bird,,,,,
C.J. McCollum,http://www.spotrac.com/redirect/player/13323/,POR,23962572,Bird,,,,,
Evan Turner,http://www.spotrac.com/redirect/player/6883/,POR,17131148,Cap Space,,,,,
Maurice Harkless,http://www.spotrac.com/redirect/player/10823/,POR,10162921,Bird,,,,,
Meyers Leonard,http://www.spotrac.com/redirect/player/10819/,POR,9904494,Bird,,,,,
Al-Farouq Aminu,http://www.spotrac.com/redirect/player/6890/,POR,7319035,Cap Space,,,,,
Ed Davis,http://www.spotrac.com/redirect/player/6895/,POR,6352531,Cap Space,,,,,
Zach Collins,http://www.spotrac.com/redirect/player/23605/,POR,3057240,Rookie,,,signed,2017-07-03,
Jusuf Nurkic,http://www.spotrac.com/redirect/player/15368/,POR,2947305,Rookie,,,traded,2017-02-13,DEN
Shabazz Napier,http://www.spotrac.com/redirect/player/15376/,POR,2361360,Rookie,,,,,
Pat Connaughton,http://www.spotrac.com/redirect/player/17869/,POR,1471382,Cap Space,,,,,
Caleb Swanigan,http://www.spotrac.com/redirect/player/23621/,POR,1465920,Rookie,,,signed,2017-07-03,
Jake Layman,http://www.spotrac.com/redirect/player/20253/,POR,1312611,Cap Space,,,,,
LeBron James,http://www.spotrac.com/redirect/player/2257/,CLE,33285709,Early Bird,,,,,
Kevin Love,http://www.spotrac.com/redirect/player/6132/,CLE,22642350,Bird,,,,,
George Hill,http://www.spotrac.com/redirect/player/6154/,CLE,20000000,Cap Space,,,,,
