Player,Pos,Spotrac_ID,Team,Trans_Date,Trans
Richard Jefferson, SF,http://www.spotrac.com/redirect/player/2594/,DEN,Oct 19 2017,Signed a 1 year $2.3 million contract with Denver (DEN)				
Jameer Nelson, PG,http://www.spotrac.com/redirect/player/2642/,DEN,Oct 18 2017,Waived by Denver (DEN)				
Josh Childress, SF,http://www.spotrac.com/redirect/player/6968/,DEN,Oct 12 2017,Waived by Denver (DEN)				
Gary Harris, SG,http://www.spotrac.com/redirect/player/15371/,DEN,Oct 12 2017,Signed a 4 year $84 million contract extension with Denver (DEN)				
Robbie Hummel, SF,http://www.spotrac.com/redirect/player/10883/,DEN,Oct 4 2017,Retired from Professional Basketball				
Malik Beasley, SG,http://www.spotrac.com/redirect/player/20224/,DEN,Sep 29 2017,Denver (DEN) exercised $1.77 million option for 2018-2019				
Emmanuel Mudiay, PG,http://www.spotrac.com/redirect/player/17835/,DEN,Sep 28 2017,Denver (DEN) exercised $4.29 million option for 2018-19				
Malik Beasley, SG,http://www.spotrac.com/redirect/player/20224/,DEN,Sep 27 2017,Denver (DEN) exericsed $2.73 million option for 2019-2020				
Juan Hernangomez, PF,http://www.spotrac.com/redirect/player/20220/,DEN,Sep 27 2017,Denver (DEN) exercised $2.17 million option for 2018-2019				
Trey Lyles, PF,http://www.spotrac.com/redirect/player/17840/,DEN,Sep 27 2017,Denver (DEN) exercised $3.36 million option for 2018-2019				
Jamal Murray, PG,http://www.spotrac.com/redirect/player/20212/,DEN,Sep 27 2017,Denver (DEN) exercised $3.5 million option for 2018-2019				
Mason Plumlee, C,http://www.spotrac.com/redirect/player/13335/,DEN,Sep 20 2017,Signed a 3 year $41 million contract with Denver (DEN)				
Josh Childress, SF,http://www.spotrac.com/redirect/player/6968/,DEN,Sep 19 2017,Signed a 1 year $2.1 million contract with Denver (DEN)				
Monte Morris, PF,http://www.spotrac.com/redirect/player/23652/,DEN,Jul 21 2017,Signed a two-way contract with Denver (DEN)				
Torrey Craig, SF,http://www.spotrac.com/redirect/player/24230/,DEN,Jul 19 2017,Signed a two-way contract with Denver (DEN)				
Paul Millsap, PF,http://www.spotrac.com/redirect/player/2754/,DEN,Jul 13 2017,Signed a 2 year $61 million contract with Denver (DEN) - includes 3rd Year Club Option				
Mike Miller, SG,http://www.spotrac.com/redirect/player/2539/,DEN,Jul 11 2017,Waived by Denver (DEN)				
Danilo Gallinari, SF,http://www.spotrac.com/redirect/player/6138/,DEN,Jul 6 2017,Traded to Los Angeles (LAC) from Denver (DEN) as part of a 3-team trade: Atlanta (ATL) traded 2019 2nd round pick to Denver (DEN); Atlanta (ATL) traded 2018 1st round pick to Los Angeles (LAC); Los Angeles (LAC) traded  Jamal CrawfordDiamond Stone
Tyler Lydon, PF,http://www.spotrac.com/redirect/player/23619/,DEN,Jul 6 2017,Signed a 2 year $3.45 million contract with Denver (DEN)				
Danilo Gallinari, SF,http://www.spotrac.com/redirect/player/6138/,DEN,Jul 4 2017,Signed a 3 year $64.76 million contract with Denver (DEN) as a part of a sign-and-trade with Los Angeles (LAC)				
Monte Morris, PF,http://www.spotrac.com/redirect/player/23652/,DEN,Jun 22 2017,Drafted by Denver (DEN): Round 2 (#51overall)				
Vlatko Cancar, SF,http://www.spotrac.com/redirect/player/23650/,DEN,Jun 22 2017,Drafted by Denver (DEN): Round 2 (#49overall)				
Tyler Lydon, PF,http://www.spotrac.com/redirect/player/23619/,DEN,Jun 22 2017,Traded to Denver (DEN) from Utah (UTH)  with  Trey LylesDonovan Mitchell
Tyler Lydon, PF,http://www.spotrac.com/redirect/player/23619/,DEN,Jun 22 2017,Drafted by Utah (UTH): Round 1 (#24overall)				
Donovan Mitchell, SG,http://www.spotrac.com/redirect/player/23608/,DEN,Jun 22 2017,Drafted by Denver (DEN): Round 1 (#13overall)				
Mason Plumlee, C,http://www.spotrac.com/redirect/player/13335/,DEN,Jun 22 2017,Denver (DEN) extended $4.59 million Qualifying Offer; becomes a Restricted Free Agent				
Danilo Gallinari, SF,http://www.spotrac.com/redirect/player/6138/,DEN,May 30 2017,Declined $16.1 million Player Option with Denver (DEN) for 2017-18				
Roy Hibbert, C,http://www.spotrac.com/redirect/player/6113/,DEN,Feb 23 2017,Traded to Denver (DEN) from Milwaukee (MIL)  for 2017 2nd round pick [protected] 				
